MSSubClass,MSZoning,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,FullBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
60,RL,8450,Reg,Inside,CollgCr,2Story,7,2003,2003,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,No,GLQ,856,Ex,856,1710,2,1,Gd,8,0,Na,Attchd,2003.0,RFn,2,548,WD,Normal,208500
60,RL,11250,IR1,Inside,CollgCr,2Story,7,2001,2002,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,Mn,GLQ,920,Ex,920,1786,2,1,Gd,6,1,TA,Attchd,2001.0,RFn,2,608,WD,Normal,223500
70,RL,9550,IR1,Corner,Crawfor,2Story,7,1915,1970,Gable,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,No,ALQ,756,Gd,961,1717,1,1,Gd,7,1,Gd,Detchd,1998.0,Unf,3,642,WD,Abnorml,140000
60,RL,14260,IR1,FR2,NoRidge,2Story,8,2000,2000,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,Av,GLQ,1145,Ex,1145,2198,2,1,Gd,9,1,TA,Attchd,2000.0,RFn,3,836,WD,Normal,250000
50,RL,14115,IR1,Inside,Mitchel,1.5Fin,5,1993,1995,Gable,VinylSd,VinylSd,None,TA,TA,Wood,Gd,No,GLQ,796,Ex,796,1362,1,1,TA,5,0,Na,Attchd,1993.0,Unf,2,480,WD,Normal,143000
20,RL,10084,Reg,Inside,Somerst,1Story,8,2004,2005,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,Av,GLQ,1686,Ex,1694,1694,2,1,Gd,7,1,Gd,Attchd,2004.0,RFn,2,636,WD,Normal,307000
60,RL,10382,IR1,Corner,NWAmes,2Story,7,1973,1973,Gable,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,Mn,ALQ,1107,Ex,1107,2090,2,1,TA,7,2,TA,Attchd,1973.0,RFn,2,484,WD,Normal,200000
50,RM,6120,Reg,Inside,OldTown,1.5Fin,7,1931,1950,Gable,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,No,Unf,952,Gd,1022,1774,2,2,TA,8,2,TA,Detchd,1931.0,Unf,2,468,WD,Abnorml,129900
190,RL,7420,Reg,Corner,BrkSide,1.5Unf,5,1939,1950,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,No,GLQ,991,Ex,1077,1077,1,2,TA,5,2,TA,Attchd,1939.0,RFn,1,205,WD,Normal,118000
20,RL,11200,Reg,Inside,Sawyer,1Story,5,1965,1965,Hip,HdBoard,HdBoard,None,TA,TA,CBlock,TA,No,Rec,1040,Ex,1040,1040,1,1,TA,5,0,Na,Detchd,1965.0,Unf,1,384,WD,Normal,129500
20,RL,12968,IR2,Inside,Sawyer,1Story,5,1962,1962,Hip,HdBoard,Plywood,None,TA,TA,CBlock,TA,No,ALQ,912,TA,912,912,1,1,TA,4,0,Na,Detchd,1962.0,Unf,1,352,WD,Normal,144000
20,RL,10652,IR1,Inside,CollgCr,1Story,7,2006,2007,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Av,Unf,1494,Ex,1494,1494,2,1,Gd,7,1,Gd,Attchd,2006.0,RFn,3,840,New,Partial,279500
20,RL,10920,IR1,Corner,NAmes,1Story,6,1960,1960,Hip,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,No,BLQ,1253,TA,1253,1253,1,1,TA,5,1,Fa,Attchd,1960.0,RFn,1,352,WD,Normal,157000
20,RL,11241,IR1,CulDSac,NAmes,1Story,6,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,No,ALQ,1004,Ex,1004,1004,1,1,TA,5,1,TA,Attchd,1970.0,Fin,2,480,WD,Normal,149000
20,RL,13695,Reg,Inside,SawyerW,1Story,5,2004,2004,Gable,VinylSd,VinylSd,None,TA,TA,PConc,TA,No,GLQ,1114,Ex,1114,1114,1,1,Gd,6,0,Na,Detchd,2004.0,Unf,2,576,WD,Normal,159000
20,RL,7560,Reg,Inside,NAmes,1Story,5,1958,1965,Hip,BrkFace,Plywood,None,TA,TA,CBlock,TA,No,LwQ,1029,TA,1339,1339,1,1,TA,6,0,Na,Attchd,1958.0,Unf,1,294,COD,Abnorml,139000
60,RL,14215,IR1,Corner,NridgHt,2Story,8,2005,2006,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,Av,Unf,1158,Ex,1158,2376,3,1,Gd,9,1,Gd,BuiltIn,2005.0,RFn,3,853,New,Partial,325300
45,RM,7449,Reg,Inside,IDOTRR,1.5Unf,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,No,Unf,637,Ex,1108,1108,1,1,Gd,6,1,Gd,Attchd,1930.0,Unf,1,280,WD,Normal,139400
20,RL,9742,Reg,Inside,CollgCr,1Story,8,2002,2002,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,No,Unf,1777,Ex,1795,1795,2,1,Gd,7,1,Gd,Attchd,2002.0,RFn,2,534,WD,Normal,230000
120,RM,4224,Reg,Inside,MeadowV,1Story,5,1976,1976,Gable,CemntBd,CmentBd,None,TA,TA,PConc,Gd,No,GLQ,1040,TA,1060,1060,1,1,TA,6,1,TA,Attchd,1976.0,Unf,2,572,WD,Normal,129900
20,RL,14230,Reg,Corner,NridgHt,1Story,8,2007,2007,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,No,Unf,1566,Ex,1600,1600,2,1,Gd,7,1,Gd,Attchd,2007.0,RFn,3,890,WD,Normal,256300
20,RL,7200,Reg,Corner,NAmes,1Story,5,1951,2000,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,Mn,BLQ,900,TA,900,900,1,1,Gd,5,0,Na,Detchd,2005.0,Unf,2,576,WD,Normal,134800
20,RL,11478,Reg,Inside,NridgHt,1Story,8,2007,2008,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,No,GLQ,1704,Ex,1704,1704,2,1,Gd,7,1,Gd,Attchd,2008.0,RFn,3,772,WD,Normal,306000
20,RL,16321,IR1,CulDSac,NAmes,1Story,5,1957,1997,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,Gd,BLQ,1484,TA,1600,1600,1,1,TA,6,2,Gd,Attchd,1957.0,RFn,1,319,WD,Normal,207500
30,RM,6324,IR1,Inside,BrkSide,1Story,4,1927,1950,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,No,Unf,520,Fa,520,520,1,1,Fa,4,0,Na,Detchd,1920.0,Unf,1,240,WD,Normal,68500
70,C (all),8500,Reg,Inside,IDOTRR,2Story,4,1920,1950,Gambrel,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,No,Unf,649,TA,649,1317,1,1,TA,6,0,Na,Detchd,1920.0,Unf,1,250,WD,Normal,40000
20,RL,8544,IR1,CulDSac,Sawyer,1Story,5,1966,2006,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,No,Unf,1228,Gd,1228,1228,1,1,Gd,6,0,Na,Attchd,1966.0,Unf,1,271,WD,Normal,149350
20,RL,11049,Reg,Corner,CollgCr,1Story,8,2007,2007,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,Av,Unf,1234,Ex,1234,1234,2,1,Gd,7,0,Na,Attchd,2007.0,RFn,2,484,WD,Normal,179900
20,RL,10552,IR1,Inside,NAmes,1Story,5,1959,1959,Hip,BrkFace,BrkFace,None,TA,TA,CBlock,TA,No,Rec,1398,Gd,1700,1700,1,1,Gd,6,1,Gd,Attchd,1959.0,RFn,2,447,WD,Normal,165500
120,RL,7313,Reg,Inside,NridgHt,1Story,9,2005,2005,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,No,GLQ,1561,Ex,1561,1561,2,1,Ex,6,1,Gd,Attchd,2005.0,Fin,2,556,WD,Normal,277500
60,RL,13418,Reg,Inside,NridgHt,2Story,8,2004,2005,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,Av,Unf,1117,Ex,1132,2452,3,1,Gd,9,1,Gd,BuiltIn,2004.0,Fin,3,691,WD,Normal,309000
20,RL,10859,Reg,Corner,CollgCr,1Story,5,1994,1995,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,No,Unf,1097,Ex,1097,1097,1,1,TA,6,0,Na,Attchd,1995.0,Unf,2,672,WD,Normal,145000
20,RL,8532,Reg,Inside,NAmes,1Story,5,1954,1990,Hip,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,No,Rec,1297,Gd,1297,1297,1,1,TA,5,1,TA,Attchd,1954.0,Fin,2,498,WD,Normal,153000
20,RL,7922,Reg,Inside,NAmes,1Story,5,1953,2007,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,No,GLQ,1057,TA,1057,1057,1,1,Gd,5,0,Na,Detchd,1953.0,Unf,1,246,WD,Abnorml,109000
20,RL,8658,Reg,Inside,NAmes,1Story,6,1965,1965,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,No,Rec,1088,Ex,1324,1324,2,1,TA,6,1,TA,Attchd,1965.0,RFn,2,440,WD,Abnorml,160000
20,RL,16905,Reg,Inside,Timber,1Story,5,1959,1959,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,Gd,BLQ,1350,Gd,1328,1328,1,1,TA,5,2,Gd,Attchd,1959.0,RFn,1,308,WD,Normal,170000
85,RL,9180,IR1,CulDSac,SawyerW,SFoyer,5,1983,1983,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,Av,ALQ,840,Gd,884,884,1,1,Gd,5,0,Na,Attchd,1983.0,RFn,2,504,WD,Normal,144000
20,RL,9200,IR1,CulDSac,CollgCr,1Story,5,1975,1980,Hip,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,Av,LwQ,938,TA,938,938,1,1,TA,5,0,Na,Detchd,1977.0,Unf,1,308,WD,Normal,130250
20,RL,7945,Reg,Inside,NAmes,1Story,5,1959,1959,Gable,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,No,ALQ,1150,Ex,1150,1150,1,1,TA,6,0,Na,Attchd,1959.0,RFn,1,300,WD,Normal,141000
120,RL,7658,Reg,Inside,NridgHt,1Story,9,2005,2005,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,No,GLQ,1752,Ex,1752,1752,2,1,Ex,6,1,Gd,Attchd,2005.0,RFn,2,576,WD,Normal,319900
